jp,cn,kr,en
「ふむ」,“唔……”,「흠.」,
先輩がお茶をすする。,学姐啜了一口茶。,선배님이 차를 마신다.,
「あ、信じてないですか？」,“啊，你这是不相信吗？”,"「아, 지금 안 믿으시는 거죠?」",
「無論だ」,“当然啊。”,「물론이다.」,
「でも本当なんですよ」,“可这千真万确啊。”,「그래도 진짜라니까요.」,
先輩はぼくの話しに興味がないのか、それともこんな安いホラー話にうんざりしているのか、ふーんとつまらなさそうにお茶を飲んでいる。,不晓得学姐是对我说的话完全没兴趣，还是觉得这么廉价的恐怖段子听着烦人，她只是有些无聊地喝着茶。,"선배님은 내 이야기에 흥미가 없는 것인지, 아니면 이런 3류 괴담이 지겨운 것인지, 콧김을 뿜으며 시큰둥하게 차를 마시고 있다.",
安いホラー話とはもちろん昨夜のこと。少し目を離した隙にユエナが目の前から消えたことだ。,至于那个“廉价的恐怖段子”，自然说的是昨晚，由依奈才离开我视线几秒钟就消失不见的事情。,3류 괴담이란 역시 어젯밤 일. 잠깐 눈을 뗀 사이 유에나가 감쪽같이 사라진 그 사건이다.,
あれからぼくは食べたばかりのラーメンが口からリバースされてしまうくらいの勢いで走って逃げた。,在那之后，我拼命往家跑，连刚吃的泡面都差点翻涌出来似的。,그 뒤로 나는 라면이 다시 역주행 할 정도로 뛰어 도망쳤다.,
自分はホラーには割と耐性があると思っていたけど、あんなものを目の当たりにしてしまったら怖いに決まっている。,虽然我自认为不太怕这些东西，但亲眼见到的时候，无论如何都会害怕的。,"나는 스스로 공포물에 그럭저럭 내성이 있다고 생각했는데, 실제로 이런 일을 당하니 무섭기 그지없다.",
ちなみに今朝、泉に捨てたままの食べかけのカップ麺を片付けようと登校中に寄ってみると、そこにゴミは一つもなかった。,顺便，今早上学时，我也去了趟昨晚的泉水边想要收拾一下吃剩下的泡面，可是那里已经没有什么垃圾了。,"심지어 오늘 아침 샘에 방치해 둔 컵라면을 정리하려고 등굣길에 들렀더니, 그곳에는 쓰레기가 하나도 남아 있지 않았다.",
ユエナが片付けたのか、それとも誰かが片付けてくれたのか。,不知道是由依奈收拾的，还是别人收拾的。,"유에나가 정리한 것일까, 아니면 다른 누가 정리한 것일까.",
「なかったことになってたりして……」,“结果就像是没发生过一样……”,「모든 게 다 내 환각이었던 건…….」,
そう考えるとまたぶるっと身体が奮える。,这么一想，身体就有些发抖。,그리 생각하자 다시 몸이 부르르 떨렸다.,
「先輩、ぼくにも温かいお茶をください」,“学姐，也帮我泡杯茶吧。”,「선배님. 저도 따뜻한 차 좀 주세요.」,
「……自分でやりたまえ」,“……你自己泡吧。”,「……스스로 하도록.」,
むすっとした顔で先輩に睨まれる。,学姐板着脸瞪了我一眼。,선배님이 뾰로통한 얼굴로 노려본다.,
どうして……。,为啥啊……,어째서…….,
仕方なくぼくは席を立つ。ポッドや湯呑が置かれた机の前に立つと、窓ガラスからは暖かい日光が入り込んで瞼を刺激する。,没办法，我只好站了起来。当我站在放热水壶和茶杯的桌子前时，温暖的阳光穿过窗户玻璃，刺激着眼睑。,하는 수 없이 나는 자리에서 일어났다. 창가 책상으로 향하자 따스한 햇살이 눈부시게 비친다.,
コポコポと湯呑に湯をそそぐと、ゆらゆらと揺れて昇る湯気が光を乱反射して光った。,往茶杯里倒热水，水汽慢慢飘上来，在漫反射之下发出光芒了。,찻잔에 쪼르륵 물을 따른다. 흔들거리며 피어오르는 수증기가 빛을 받아 빛났다.,
「あったかい」,“好暖和啊。”,「따뜻하다.」,
昨夜のことを考えると寒気がするばかりだ。,一想起昨晚的事情，就浑身发冷。,어젯밤 일을 생각하면 한기가 돈다.,
だからこの暖かさは心地が良い。,所以这种暖乎乎的东西就很舒服。,그래서 이 온기가 아주 맘에 들었다.,
「ときに少年」,“对了，少年。”,「이참에 소년.」,
「なんです？」,“怎么了。”,「뭔가요?」,
後ろから声がして振り向く。,后面传来声音，我回过头去。,선배님의 목소리에 돌아본다.,
「わたしにもおかわりを入れてくれるか？」,“能帮我也续一杯吗？”,「내 것도 한 잔 더 타 주겠나?」,
先輩は読書をしながら片手で湯呑を突き出してくる。,学姐看着书，单手把茶杯伸了过来。,선배님이 책을 읽으며 한 손으로 찻잔을 내민다.,
