number,jp,cn,kr,en
0,久しぶりに夢を見た。,我久违地做了个梦。,오랜만에 꿈을 꾼다.,
1,夢を見たのが久しぶりではなくて、この夢を見たのが久しぶり。,不是指很久没有做梦，而是很久没有做这个梦了。,꿈을 꾼 것이 오랜만이 아니라 이 꿈을 꾼 것이 오랜만이다.,
2,これまで幾度となく見てきた夢を、今日――ぼくは、また見ている。,今天，我再次做了这个曾经做过无数次的梦。,"지금껏 수도 없이 꿨던 꿈을―― 나는 오늘, 다시 꾸고 있다.",
3,ぼくは車に乗っていた。夢はいつもここから始まる。,我坐在车上。梦每次都是从这里开始的。,나는 차에 탄 상태였다. 꿈은 언제나 여기서부터 시작된다.,
4,ぼくの座る位置は、運転席の後ろ。,我坐的位置是驾驶座后面。,내가 앉은 위치는 운전석 뒤편.,
5,それをぼくは、ぼくの後ろから見ている。第三者の視点で見ているのだからやはりこれは夢に違いない。,而我却从自己的身后看着这一切。第三人称的视角，证明了这的确是一场梦境。,그리고 나는 그 모습을 내 뒤에서 지켜보고 있다. 제3자 시점으로 보는 것이니 역시 이는 꿈이 틀림없다.,
6,時折、車が揺れる。光はない。,汽车时不时发生摇晃。四周黯淡无光。,이따금 차가 흔들린다. 빛은 없다.,
7,この夢の中で、人の顔は見えない。,在梦里，我看不到大家的脸。,꿈속에서 사람 얼굴은 보이지 않는다.,
8,運転席に座る人の顔は見えない。でもその人が男性だとは知っている。,比如坐在驾驶座上的那位。但我知道他是男性。,운전석에 앉은 사람의 얼굴이 보이지 않는다. 그래도 그 사람이 남자라는 것은 안다.,
9,その隣、助手席に座る人の顔も見えない。でもその人が女性だとは知っている。,也看不到副驾驶上的那位。但我知道她是女性。,그 옆 조수석에 앉은 사람도 얼굴이 보이지 않는다. 그래도 그 사람이 여자라는 것은 안다.,
10,ぼくの顔だって見えない。でも――、,就连我自己的脸也不例外。然而——,내 얼굴도 보이지 않는다. 그래도――,
11,『楽しみだねっ』,‘真期待啊。’,『기대된다!』,
12,隣に座る少女の笑顔。,身旁的少女露出了笑容。,옆자리에 앉은 소녀의 미소.,
13,その顔だけは、はっきりと鮮明に、容易くあっさりと見ることができた。,唯独她的笑容格外鲜明，清晰地映照在梦中。,"그 얼굴만큼은 확실하고 선명하게, 너무도 간단하게 보였다.",
